Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
61,633,63,Jun 16,NYY,,TBR,W2-1,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.310,.386,.677,1.062,2,1.22,0.006,.89,0.00%,0.17,9.00,12.00,CF
62,634,64,Jun 17,NYY,@,TOR,W12-3,CG,6,5,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.312,.388,.671,1.059,1,.52,0.024,.37,0.01%,0.17,10.00,12.20,CF
63,635,65,Jun 18,NYY,@,TOR,W4-0,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.381,.657,1.038,2,.46,-0.058,.27,-0.02%,-0.97,0.00,0.00,DH
64,636,66,Jun 19,NYY,@,TOR,L9-10,CG,5,4,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,.305,.382,.654,1.036,2,1.63,0.005,.79,0.00%,0.88,11.00,15.70,CF
65,637,67,Jun 20,NYY,@,TBR,W4-2,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.301,.380,.647,1.026,2,.61,-0.031,.30,-0.01%,-0.10,7.00,9.00,CF
66,638,68,Jun 21,NYY,@,TBR,L4-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.378,.644,1.022,9,1.34,-0.033,.54,-0.01%,-0.09,0.00,0.00,PH
67,639,69,Jun 22,NYY,@,TBR,W5-4,CG,5,5,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,.302,.379,.663,1.042,2,1.60,0.070,.80,0.02%,0.61,28.00,37.40,CF
68,640,70,Jun 23,NYY,,HOU,W7-6,CG,5,5,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.304,.379,.658,1.037,2,1.60,0.412,.69,0.11%,1.33,10.00,12.70,CF
69,641,71,Jun 24,NYY,,HOU,L1-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.299,.374,.648,1.022,2,1.37,-0.131,.53,-0.03%,-0.88,0.00,0.00,CF
70,642,72,Jun 25,NYY,,HOU,L0-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.295,.369,.638,1.007,1,1.32,-0.140,.64,-0.04%,-0.91,0.00,0.00,CF
71,643,73,Jun 26,NYY,,HOU,W6-3,CG(10),5,4,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.294,.370,.643,1.013,2,1.61,0.334,.77,0.10%,2.21,20.00,28.70,CF
72,644,74,Jun 27,NYY,,OAK,W9-5,CG,5,4,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.293,.368,.638,1.006,2,1.02,0.072,.44,0.02%,0.23,7.00,9.70,CF
73,645,75,Jun 28,NYY,,OAK,W2-1,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.289,.364,.629,.992,2,.64,-0.062,.24,-0.01%,-0.95,0.00,0.00,DH
74,646,76,Jun 29,NYY,,OAK,W5-3,CG,4,3,2,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.290,.365,.636,1.001,2,.83,0.185,.30,0.04%,1.75,20.00,28.40,CF
75,647,77,Jun 30,NYY,@,HOU,L1-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.361,.627,.988,2,1.55,-0.149,.49,-0.03%,-1.07,0.00,0.00,CF
76,648,78,Jul 2 (1),NYY,@,CLE,W13-4,CG,5,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,.286,.364,.628,.992,2,.62,-0.011,.20,0.00%,0.65,18.00,24.40,DH
77,649,79,Jul 2 (2),NYY,@,CLE,W6-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.282,.360,.619,.979,2,.77,-0.124,.22,-0.02%,-1.20,0.00,0.00,CF
78,650,80,Jul 3,NYY,@,CLE,L0-2,9-GF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.282,.362,.619,.981,5,2.79,0.071,.72,0.01%,0.33,2.00,3.00,PH
79,651,81,Jul 5,NYY,@,PIT,L2-5,CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.281,.360,.612,.972,2,.93,-0.072,.27,-0.01%,-0.71,5.00,6.50,CF
80,652,82,Jul 6,NYY,@,PIT,W16-0,GS-8,5,4,1,3,1,0,1,4,1,0,1,0,0,0,0,0,1,0,.287,.366,.627,.993,2,.62,0.027,.18,0.01%,3.33,35.00,47.20,CF
81,653,84 (1),Jul 8,NYY,@,BOS,W12-5,CG,6,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.282,.363,.617,.979,2,.46,-0.051,.12,-0.01%,-0.75,2.00,3.00,DH
82,654,85,Jul 9,NYY,@,BOS,L5-6,CG(10),5,5,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.284,.363,.617,.980,1,1.37,0.204,.26,0.02%,0.75,12.00,15.70,RF CF
